,word,true,pred
168,october,I-DATE,O
169,van,O,O
170,denwelke,O,O
171,payemente,O,O
172,vors,O,O
173,en,O,O
174,van,O,O
175,allen,O,O
176,verleidene,O,O
177,payementen,O,O
178,en,O,O
179,van,O,O
180,al,O,O
181,dat,O,O
182,atoutchieren,O,O
183,mach,O,O
184,om,O,O
185,cause,O,O
186,van,O,O
187,der,O,O
188,voors,O,O
189,lijfrente,O,O
190,scelde,O,O
191,derof,O,O
192,quite,O,O
193,der,O,O
194,vors,O,O
195,steide,O,O
196,ou,O,O
197,suster,O,O
198,marie,B-PERS,B-PERS
199,vors,O,O
200,jn,O,O
201,kennessen,O,O
202,der,O,O
203,wareide,O,O
204,so,O,O
205,hebbic,O,O
206,abdesse,O,O
207,vors,O,O
208,deise,O,O
209,lre,O,O
210,gheseighelt,O,O
211,met,O,O
212,mine,O,O
213,zeighele,O,O
214,ute,O,O
215,jnt,O,O
216,jaer,O,O
217,m,B-DATE,O
218,ccc,I-DATE,O
219,iiijxx,I-DATE,O
220,en,I-DATE,O
221,twelleue,I-DATE,O
222,wij,O,O
223,henric,B-PERS,B-PERS
224,here,O,I-PERS
225,van,O,O
226,helebeque,B-LOC,B-PERS
227,ruddre,O,I-PERS
228,michiel,B-PERS,B-PERS
229,queke,I-PERS,I-PERS
230,maes,B-PERS,B-PERS
231,coppin,I-PERS,I-PERS
232,joos,B-PERS,O
233,van,I-PERS,O
234,dentrighe,I-PERS,O
235,ende,O,O
236,jhan,B-PERS,B-PERS
237,droom,I-PERS,I-PERS
238,scepen,O,O
239,van,O,O
240,den,O,O
241,ypperschen,O,O
242,ambachte,O,O
243,doen,O,O
244,te,O,O
245,weitene,O,O
246,allen,O,O
247,lieden,O,O
248,dat,O,O
249,brixis,B-PERS,O
250,de,I-PERS,O
251,vos,I-PERS,O
252,poorter,O,O
253,typpre,B-LOC,B-LOC
254,heift,O,O
255,ghecocht,O,O
256,ende,O,O
257,ghecreghen,O,O
258,eruelijcke,O,O
259,tzinen,O,O
260,bouf,O,O
261,ende,O,O
262,tziins,O,O
263,hoirs,O,O
264,bouf,O,O
265,jeghe,O,O
266,h,O,O
267,jhanne,B-PERS,B-PERS
268,broederlam,I-PERS,I-PERS
269,ende,O,O
270,joncfrauwe,O,O
271,kerstine,B-PERS,B-PERS
272,zine,O,O
273,wiue,O,O
274,ses,O,O
275,ymete,O,O
276,een,O,O
277,line,O,O
278,seuentich,O,O
279,roeden,O,O
280,ende,O,O
281,een,O,O
282,half,O,O
283,lands,O,O
284,litel,O,O
285,min,O,O
286,of,O,O
287,meer,O,O
288,ligghende,O,O
289,onder,O,O
290,mine,O,O
291,here,O,O
292,van,O,O
293,vlaendren,B-LOC,B-PERS
294,bin,O,O
295,den,O,O
296,yppschen,O,O
297,ambochte,O,O
298,jn,O,O
299,de,O,O
300,prochie,O,O
301,van,O,O
302,sinte,B-LOC,B-LOC
303,jacops,I-LOC,I-LOC
304,vp,O,O
305,de,O,O
306,zinnebeicstrate,B-LOC,B-LOC
307,an,O,O
308,de,O,O
309,zuud,O,O
310,zide,O,O
311,jn,O,O
312,drien,O,O
313,parchelen,O,O
314,dats,O,O
315,te,O,O
316,weitene,O,O
317,viere,O,O
318,ymete,O,O
319,een,O,O
320,line,O,O
321,ende,O,O
322,elleuen,O,O
323,roeden,O,O
324,lands,O,O
325,tussche,O,O
326,den,O,O
327,lande,O,O
328,van,O,O
329,den,O,O
330,gasthuse,O,O
331,ter,O,O
332,belle,O,O
333,of,O,O
334,een,O,O
335,zide,O,O
336,ende,O,O
337,den,O,O
338,lande,O,O
339,lamsins,B-PERS,B-PERS
340,crenys,I-PERS,I-PERS
341,of,O,O
342,andre,O,O
343,zide,O,O
344,jt,O,O
345,een,O,O
346,ymet,O,O
347,lants,O,O
348,tussche,O,O
349,den,O,O
350,lande,O,O
351,dat,O,O
352,wilen,O,O
353,was,O,O
354,joris,B-PERS,B-PERS
355,murgaleids,I-PERS,O
356,of,O,O
357,een,O,O
358,zide,O,O
359,en,O,O
360,sher,O,O
361,jans,B-PERS,B-PERS
362,vroeden,I-PERS,O
363,land,O,O
364,of,O,O
365,andere,O,O
366,jtem,O,O
367,een,O,O
368,ymet,O,O
369,neghene,O,O
370,en,O,O
371,vichtich,O,O
372,roeden,O,O
373,lande,O,O
374,tusschen,O,O
375,den,O,O
376,lande,O,O
377,svoors,O,O
378,h,O,O
379,jhans,B-PERS,B-PERS
380,vroeden,I-PERS,O
381,of,O,O
382,een,O,O
383,zide,O,O
384,en,O,O
385,den,O,O
386,lande,O,O
387,willems,B-PERS,B-PERS
388,van,I-PERS,I-PERS
389,paskendale,I-PERS,I-PERS
390,of,O,O
391,ander,O,O
392,zide,O,O
393,van,O,O
394,den,O,O
395,welken,O,O
396,cope,O,O
397,de,O,O
398,voors,O,O
399,vercopers,O,O
400,houden,O,O
401,hem,O,O
402,vernoucht,O,O
403,lyen,O,B-PERS
404,vulgoden,O,O
405,ende,O,O
406,hebbent,O,O
407,vp,O,O
408,ghedreghen,O,O
409,quite,O,O
410,ghescolden,O,O
411,ende,O,O
412,halm,O,O
413,ende,O,O
414,ghifte,O,O
415,gheworpen,O,O
416,den,O,O
417,voors,O,O
418,copre,O,O
419,wel,O,O
420,en,O,O
421,wettelike,O,O
422,naer,O,O
423,costume,O,O
424,ende,O,O
425,vsagen,O,O
426,van,O,O
427,den,O,O
428,ypperschen,O,O
429,ambachte,O,O
430,ende,O,O
431,hebbens,O,O
432,hem,O,O
433,ghewed,O,O
434,ende,O,O
435,ghelooft,O,O
436,jn,O,O
437,waerscep,O,O
438,zonder,O,O
439,calaenge,O,O
440,jeghen,O,O
441,allen,O,O
442,lieden,O,O
443,quite,O,O
444,land,O,O
445,ome,O,O
446,quite,O,O
447,ghelt,O,O
448,behouden,O,O
449,sheren,O,O
450,chens,O,O
451,vute,O,O
452,ghaende,O,O
453,jn,O,O
454,oorconscepen,O,O
455,van,O,O
456,deisen,O,O
457,dinghen,O,O
458,so,O,O
459,hebben,O,O
460,wij,O,O
461,scepen,O,O
462,voors,O,O
463,dese,O,O
464,pnte,O,O
465,lettre,O,O
466,ghezeghelt,O,O
467,met,O,O
468,ons,O,O
469,propren,O,O
470,zeglen,O,O
471,jnt,O,O
472,jaer,O,O
473,m,B-DATE,O
474,ccc,I-DATE,O
475,iiijxx,I-DATE,O
476,ende,I-DATE,O
477,tiene,I-DATE,O
478,den,I-DATE,O
479,xvjsten,I-DATE,O
480,dach,I-DATE,O
481,jn,I-DATE,O
482,septembre,I-DATE,B-DATE
483,jn,O,O
484,den,O,O
485,name,O,O
486,ons,O,O
487,heen,O,O
488,heeft,O,O
489,ghemaect,O,O
490,de,O,O
491,haude,O,O
492,gheeraert,B-PERS,B-PERS
493,raephoeft,I-PERS,I-PERS
494,zine,O,O
495,ordinache,O,O
496,en,O,O
497,vtste,O,O
498,wille,O,O
499,eerst,O,O
500,beuelende,O,O
501,he,O,O
502,en,O,O
503,sine,O,O
504,ziele,O,O
505,zine,O,O
506,sceppe,O,O
507,den,O,O
508,ghebenediden,O,O
509,vader,O,O
510,va,O,O
511,hemelrike,O,O
512,ziner,O,O
513,ghebenedid,O,O
514,moed,O,O
515,en,O,O
516,allen,O,O
517,gods,B-PERS,B-PERS
518,heleghen,O,O
519,en,O,O
520,wille,O,O
521,voert,O,O
522,dat,O,O
523,nees,B-PERS,B-PERS
524,fuex,I-PERS,I-PERS
525,die,O,O
526,me,O,O
527,seit,O,O
528,vranx,B-PERS,B-PERS
529,hebbe,O,O
530,en,O,O
531,behaude,O,O
532,paisiuel,O,O
533,vijf,O,O
534,halst,O,O
535,en,O,O
536,eene,O,O
537,viertale,O,O
538,mesteluus,O,O
539,binne,O,O
540,iiij,O,B-MONEY
541,d,O,I-MONEY
542,naest,O,I-MONEY
543,den,O,O
544,beste,O,O
545,taudenaerde,B-LOC,B-LOC
546,te,O,O
547,leuerne,O,O
548,te,O,O
549,hare,O,O
550,liue,O,O
551,en,O,O
552,daer,O,O
553,toe,O,O
554,een,B-MONEY,O
555,pont,I-MONEY,O
556,gro,I-MONEY,O
557,tsiaers,O,O
558,oec,O,O
559,te,O,O
560,hare,O,O
561,liue,O,O
562,op,O,O
563,sine,O,O
564,huse,O,O
565,en,O,O
566,herue,O,O
567,staende,O,O
568,te,O,O
569,pamele,B-LOC,B-LOC
570,an,O,O
571,deen,O,O
572,zide,O,O
573,naest,O,O
574,gheeraerts,B-PERS,B-PERS
575,van,O,I-PERS
576,de,O,I-PERS
577,hende,O,I-PERS
578,en,O,O
579,an,O,O
580,dand,O,O
581,zide,O,O
582,naest,O,O
583,jan,B-PERS,B-PERS
584,vranx,I-PERS,I-PERS
585,in,O,O
586,diere,O,O
587,cdicie,O,O
588,dat,O,O
589,zijn,O,O
590,hoir,O,O
591,hare,O,O
592,besette,O,O
593,moghe,O,O
594,binne,O,O
595,vrihede,O,O
596,daer,O,O
597,zij,O,O
598,alsoe,O,O
599,wel,O,O
600,beset,O,O
601,zijn,O,O
602,ofte,O,O
603,bet,O,O
604,voert,O,O
605,so,O,O
606,heeft,O,O
607,de,O,O
608,vors,O,O
609,gheer,B-PERS,B-PERS
610,ghegheue,O,O
611,en,O,O
612,gheeft,O,O
613,ziere,O,O
614,met,O,O
615,rine,B-PERS,O
616,gheeraerts,I-PERS,B-PERS
617,docht,O,O
618,zijns,O,O
619,soens,O,O
620,een,O,O
621,buure,O,O
622,mersche,O,O
623,lettel,O,O
624,min,O,O
625,of,O,O
626,meer,O,O
627,eewelijc,O,O
628,duerende,O,O
629,ne,O,O
630,mare,O,O
631,dat,O,O
632,gheer,B-PERS,B-PERS
633,vors,O,O
634,vercoepe,O,O
635,mochte,O,O
636,op,O,O
637,dat,O,O
638,hi,O,O
639,wilde,O,O
640,maer,O,O
641,hi,O,O
642,wille,O,O
643,dat,O,O
644,zijn,O,O
645,zone,O,O
646,en,O,O
647,zijn,O,O
648,docht,O,O
649,dit,O,O
650,goet,O,O
651,note,O,O
652,en,O,O
653,ploten,O,O
654,euenghelijc,O,O
655,toet,O,O
656,an,O,O
657,der,O,O
658,tijt,O,O
659,dat,O,O
660,sine,O,O
661,metne,O,O
662,vors,O,O
663,groet,O,O
664,ghenouch,O,O
665,es,O,O
666,te,O,O
667,treckene,O,O
668,te,O,O
669,huweleke,O,B-LOC
670,of,O,O
671,te,O,O
672,eeneghe,O,O
673,andre,O,O
674,state,O,O
675,dan,O,O
676,wilt,O,O
677,gheer,B-PERS,B-PERS
678,vors,O,O
679,dat,O,O
680,zout,O,O
681,heffe,O,O
682,eewelijc,O,O
683,en,O,O
684,erfelijc,O,O
685,maer,O,O
686,stoorf,O,O
687,ze,O,O
688,zond,O,O
689,eenech,O,O
690,wettelijc,O,O
691,hoir,O,O
692,bute,O,O
693,huwelike,O,O
694,ofte,O,O
695,eeneghe,O,O
696,bande,O,O
697,van,O,O
698,religioene,O,O
699,so,O,O
700,wilt,O,O
701,gheer,B-PERS,B-PERS
702,vors,O,O
703,dat,O,O
704,de,O,O
705,gront,O,O
706,vors,O,O
707,altoes,O,O
708,keere,O,O
709,te,O,O
710,sine,O,O
711,hoire,O,O
712,waert,O,O
713,jt,O,O
714,gheeft,O,O
715,gheer,B-PERS,B-PERS
716,vors,O,O
717,noch,O,O
718,ziner,O,O
719,metrine,O,B-PERS
720,vors,O,O
721,zijn,O,O
722,bedde,O,O
723,daer,O,O
724,hi,O,O
725,op,O,O
726,leit,O,O
727,met,O,O
728,al,O,O
729,dattertoe,O,O
730,behoert,O,O
731,jt,O,O
732,gheeft,O,O
733,gheer,B-PERS,B-PERS
734,vors,O,O
735,mine,O,O
736,hee,O,O
737,va,O,O
738,eename,B-LOC,B-LOC
739,en,O,O
740,sine,O,O
741,couete,O,O
742,zesse,B-MONEY,B-MONEY
743,ponde,I-MONEY,I-MONEY
744,par,I-MONEY,I-MONEY
745,op,O,O
746,de,O,O
747,tijt,O,O
748,dat,O,O
749,me,O,O
750,sine,O,O
751,huutvaert,O,O
752,doen,O,O
753,sal,O,O
754,te,O,O
755,petanche,O,O
756,en,O,O
757,der,O,O
758,abderssen,O,O
759,en,O,O
760,couete,O,O
761,van,O,O
762,d,O,O
763,maegdendale,O,O
764,iiij,B-MONEY,B-MONEY
765,lib,I-MONEY,I-MONEY
766,par,I-MONEY,I-MONEY
767,oec,O,O
768,te,O,O
769,petache,O,O
770,jte,O,O
771,int,O,O
772,hospitael,O,O
773,taudenaerde,O,B-LOC
774,xxiii,B-MONEY,B-MONEY
775,sc,I-MONEY,I-MONEY
776,par,I-MONEY,I-MONEY
777,te,O,O
778,petanche,O,O
779,jt,O,O
780,plaex,O,O
781,docht,O,O
782,gheeraerdine,O,O
783,siere,O,O
784,metrine,O,B-PERS
785,xxiiij,B-MONEY,B-MONEY
786,sc,I-MONEY,I-MONEY
787,par,I-MONEY,I-MONEY
788,jte,O,O
789,gheeft,O,O
790,gheer,B-PERS,B-PERS
791,vors,O,O
792,ter,O,O
793,fabriken,O,O
794,der,O,O
795,kerke,O,O
796,van,O,O
797,pamele,B-LOC,B-LOC
798,xx,B-MONEY,B-MONEY
799,sc,I-MONEY,I-MONEY
800,par,I-MONEY,I-MONEY
801,tsiaers,O,O
802,erfelike,O,O
803,die,O,O
804,he,O,O
805,de,O,O
806,wedewe,O,O
807,snellaerts,B-PERS,O
808,erfelike,O,O
809,schuldech,O,O
810,es,O,O
811,en,O,O
812,daer,O,O
813,af,O,O
814,zijn,O,O
815,cirogphie,O,O
816,jte,O,O
817,so,O,O
818,gheeft,O,O
819,gheer,O,B-PERS
820,vors,O,O
821,te,O,O
822,sine,O,O
823,jaerghetide,O,O
824,jonfr,O,O
825,mergriete,B-PERS,B-PERS
826,zijns,O,O
827,wijfs,O,O
828,was,O,O
829,gheeraerts,B-PERS,B-PERS
830,zijns,O,I-PERS
831,soens,O,O
832,en,O,O
833,jonfr,O,O
834,mergriete,B-PERS,B-PERS
835,ziere,O,O
836,docht,O,O
837,xv,B-MONEY,B-MONEY
838,sc,I-MONEY,I-MONEY
839,par,I-MONEY,I-MONEY
840,tsiaers,O,O
841,erfelike,O,O
842,op,O,O
843,baeniaerts,B-LOC,O
844,hofstede,O,O
845,te,O,O
846,scoeresse,B-LOC,B-LOC
847,jte,O,O
848,te,O,O
849,matne,B-LOC,O
850,op,O,O
851,tolfaerts,B-LOC,O
852,hofstede,O,O
853,viij,B-MONEY,B-MONEY
854,sc,I-MONEY,I-MONEY
855,par,I-MONEY,I-MONEY
856,tsiaers,O,O
857,erfelike,O,O
858,en,O,O
859,die,O,O
860,pleghe,O,O
861,te,O,O
862,gheldene,O,O
863,jans,B-PERS,B-PERS
864,kindre,O,O
865,va,B-PERS,O
866,den,I-PERS,O
867,dale,I-PERS,O
868,die,O,O
869,me,O,O
870,seit,O,O
871,van,B-PERS,O
872,kaniant,I-PERS,O
873,jt,O,O
874,op,O,O
875,valx,O,O
876,ofstede,O,O
877,xij,B-MONEY,B-MONEY
878,sc,I-MONEY,I-MONEY
879,par,I-MONEY,I-MONEY
880,tsiaers,O,O
881,erfelike,O,O
882,tscoersse,B-LOC,O
883,en,O,O
884,dese,O,O
885,jaerghetide,O,O
886,te,O,O
887,doene,O,O
888,jaerlijcs,O,O
889,in,O,O
890,de,O,O
891,kerke,O,O
892,van,O,O
893,pamele,B-LOC,B-LOC
894,en,O,O
895,dit,O,O
896,in,O,O
897,diere,O,O
898,maniere,O,O
899,met,O,O
900,vigillie,O,O
901,sauonts,O,O
902,en,O,O
903,smaerghes,O,O
904,met,O,O
905,cmendatie,O,O
906,met,O,O
907,diacone,O,O
908,en,O,O
909,subdiacone,O,O
910,en,O,O
911,eene,O,O
912,poese,O,O
913,sauonts,O,O
914,te,O,O
915,ludene,O,O
916,en,O,O
917,smaerghes,O,O
918,hier,O,O
919,af,O,O
920,den,O,O
921,pape,O,O
922,vj,B-MONEY,B-MONEY
923,sc,I-MONEY,I-MONEY
924,par,I-MONEY,I-MONEY
925,den,O,O
926,coste,O,O
927,iiij,B-MONEY,B-MONEY
928,sc,I-MONEY,I-MONEY
929,par,I-MONEY,I-MONEY
930,elke,O,O
931,capellaen,O,O
932,die,O,O
933,daer,O,O
934,comt,O,O
935,te,O,O
936,dienste,O,O
937,en,O,O
938,helpe,O,O
939,doen,O,O
940,iij,B-MONEY,B-MONEY
941,sc,I-MONEY,I-MONEY
942,par,I-MONEY,I-MONEY
943,en,O,O
944,diere,O,O
945,niet,O,O
946,comt,O,O
947,niet,O,O
948,hebbe,O,O
949,sal,O,O
950,en,O,O
951,den,O,O
952,scoolmeeste,O,O
953,iiij,B-MONEY,B-MONEY
954,sc,I-MONEY,I-MONEY
955,par,I-MONEY,I-MONEY
956,en,O,O
957,voert,O,O
958,dat,O,O
959,de,O,O
960,kercmeests,O,O
961,doen,O,O
962,hebbe,O,O
963,xij,O,B-PERS
964,kerssen,O,I-PERS
965,en,O,O
966,xij,O,O
967,miten,O,O
968,der,O,O
969,in,O,O
970,ome,O,O
971,te,O,O
972,offerne,O,O
973,ou,O,O
974,de,O,O
975,ziele,O,O
976,en,O,O
977,datt,O,O
978,ou,O,O
979,blijft,O,O
980,van,O,O
981,d,O,O
982,vors,O,O
983,rente,O,O
984,dat,O,O
985,sal,O,O
986,de,O,O
987,kerke,O,O
988,hebbe,O,O
989,te,O,O
990,hare,O,O
991,pourfite,O,O
992,en,O,O
993,dit,O,O
994,beghert,O,O
995,gheer,B-PERS,B-PERS
996,vors,O,O
997,dat,O,O
998,ment,O,O
999,teekene,O,O
1000,in,O,O
1001,den,O,O
1002,jaerghetide,O,O
1003,bouc,O,O
1004,voert,O,O
1005,gheeft,O,O
1006,gheer,B-PERS,B-PERS
1007,vors,O,O
1008,onser,B-PERS,B-PERS
1009,vrauwe,I-PERS,I-PERS
1010,ghulde,O,O
1011,te,O,O
1012,pamele,B-LOC,B-LOC
1013,xx,B-MONEY,B-MONEY
1014,sc,I-MONEY,I-MONEY
1015,par,I-MONEY,I-MONEY
1016,tsiaers,O,O
1017,erfelike,O,O
1018,op,O,O
1019,thuus,O,O
1020,en,O,O
1021,herue,O,O
1022,jans,B-PERS,B-PERS
1023,van,I-PERS,I-PERS
1024,hoelant,I-PERS,I-PERS
1025,was,O,O
1026,naest,O,O
1027,de,O,O
1028,beghine,O,O
1029,te,O,O
1030,pamele,B-LOC,B-LOC
1031,dats,O,O
1032,te,O,O
1033,wetene,O,O
1034,als,O,O
1035,me,O,O
1036,de,O,O
1037,ghulde,O,O
1038,op,O,O
1039,heft,O,O
1040,en,O,O
1041,tote,O,O
1042,an,O,O
1043,der,O,O
1044,tijt,O,O
1045,dat,O,O
1046,men,O,O
1047,se,O,O
1048,op,O,O
1049,heft,O,O
1050,wilt,O,O
1051,gheer,B-PERS,B-PERS
1052,vors,O,O
1053,dat,O,O
1054,se,O,O
1055,de,O,O
1056,kerke,O,O
1057,hebbe,O,O
1058,te,O,O
1059,harer,O,O
1060,fabrike,O,O
1061,jt,O,O
1062,gheeft,O,O
1063,gheer,B-PERS,B-PERS
1064,vors,O,O
1065,de,O,O
1066,beghine,O,O
1067,in,O,O
1068,de,O,O
1069,borch,O,O
1070,de,O,O
1071,beghine,O,O
1072,bacht,O,O
1073,kerken,O,O
1074,in,O,O
1075,de,O,O
1076,cluse,O,O
1077,en,O,O
1078,de,O,O
1079,beghinen,O,O
1080,te,O,O
1081,pamele,B-LOC,B-LOC
1082,elc,O,O
1083,va,O,O
1084,den,O,O
1085,iij,O,O
1086,coueten,O,O
1087,vj,B-MONEY,B-MONEY
1088,sc,I-MONEY,I-MONEY
1089,par,I-MONEY,I-MONEY
1090,jt,O,O
1091,gheeft,O,O
1092,gheer,B-PERS,B-PERS
1093,vors,O,O
1094,sine,O,O
1095,pchipape,O,O
1096,vj,B-MONEY,B-MONEY
1097,lib,I-MONEY,I-MONEY
1098,par,I-MONEY,I-MONEY
1099,te,O,O
1100,verdienne,O,O
1101,en,O,O
1102,voert,O,O
1103,so,O,O
1104,schelt,O,O
1105,hi,O,O
1106,he,O,O
1107,al,O,O
1108,quite,O,O
1109,dat,O,O
1110,hi,O,O
1111,he,O,O
1112,schuldech,O,O
1113,es,O,O
1114,boue,O,O
1115,ix,B-MONEY,B-MONEY
1116,lib,I-MONEY,I-MONEY
1117,par,I-MONEY,I-MONEY
1118,en,O,O
1119,de,O,O
1120,xxx,B-MONEY,B-MONEY
1121,sc,I-MONEY,I-MONEY
1122,par,I-MONEY,I-MONEY
1123,die,O,O
1124,hi,O,O
1125,schuldech,O,O
1126,es,O,O
1127,te,O,O
1128,sente,B-DATE,B-DATE
1129,martinsmesse,I-DATE,I-DATE
1130,schelt,O,O
1131,hi,O,O
1132,hem,O,O
1133,oec,O,O
1134,quite,O,O
1135,jt,O,O
1136,den,O,O
1137,coste,O,O
1138,mits,O,O
1139,den,O,O
1140,xij,B-MONEY,B-MONEY
1141,sc,I-MONEY,I-MONEY
1142,par,I-MONEY,I-MONEY
1143,die,O,O
1144,hi,O,O
1145,he,O,O
1146,schuldech,O,O
1147,es,O,O
1148,xxiiij,B-MONEY,B-MONEY
1149,sc,I-MONEY,I-MONEY
1150,par,I-MONEY,I-MONEY
1151,jte,O,O
1152,so,O,O
1153,gheeft,O,O
1154,gheer,B-PERS,B-PERS
1155,vors,O,O
1156,grielkine,B-PERS,B-PERS
1157,zijns,O,O
1158,zoens,O,O
1159,bastaerde,O,B-PERS
1160,docht,O,O
1161,xviij,B-MONEY,B-MONEY
1162,lib,I-MONEY,I-MONEY
1163,par,I-MONEY,I-MONEY
1164,jt,O,O
1165,gheeft,O,O
1166,gheer,B-PERS,B-PERS
1167,vors,O,O
1168,boidine,B-PERS,B-PERS
1169,en,O,O
1170,arekine,B-PERS,B-PERS
1171,dreete,I-PERS,O
1172,elken,O,O
1173,iij,B-MONEY,B-MONEY
1174,sc,I-MONEY,I-MONEY
1175,gro,I-MONEY,I-MONEY
1176,jt,O,O
1177,gheenine,B-PERS,O
1178,sine,O,O
1179,petrin,O,O
1180,vj,B-MONEY,B-MONEY
1181,sc,I-MONEY,I-MONEY
1182,gro,I-MONEY,I-MONEY
1183,en,O,O
1184,oec,O,O
1185,wilt,O,O
1186,gheer,B-PERS,B-PERS
1187,vors,O,O
1188,vondemer,O,O
1189,mee,O,O
1190,schulde,O,B-LOC
1191,die,O,O
1192,me,O,O
1193,redenlike,O,O
1194,toeghen,O,O
1195,mochte,O,O
1196,dat,O,O
1197,me,O,O
1198,die,O,O
1199,golde,O,O
1200,met,O,O
1201,sine,O,O
1202,goede,O,O
1203,jn,O,O
1204,kenessen,O,O
1205,der,O,O
1206,waerheden,O,O
1207,so,O,O
1208,hebben,O,O
1209,wij,O,O
1210,arent,B-PERS,B-PERS
1211,cabeliau,I-PERS,I-PERS
1212,f,B-PERS,O
1213,mer,I-PERS,O
1214,jans,I-PERS,B-PERS
1215,fransois,B-PERS,I-PERS
1216,crupeninc,I-PERS,O
1217,en,O,O
1218,lodewijc,B-PERS,B-PERS
1219,vande,I-PERS,I-PERS
1220,hecke,I-PERS,I-PERS
1221,alse,O,O
1222,schepene,O,O
1223,in,O,O
1224,audenaerde,B-LOC,B-LOC
1225,de,O,O
1226,transscrifte,O,O
1227,van,O,O
1228,deser,O,O
1229,pnter,O,O
1230,ordinanchen,O,O
1231,bezeghelt,O,O
1232,elc,O,O
1233,onser,O,O
1234,met,O,O
1235,sine,O,O
1236,ppren,O,O
1237,zegle,O,O
1238,vte,O,O
1239,hanghende,O,O
1240,dit,O,O
1241,was,O,O
1242,ghedaen,O,O
1243,int,O,O
1244,jaer,O,O
1245,ons,O,O
1246,heen,O,O
1247,als,O,O
1248,me,O,O
1249,screef,O,O
1250,xiijc,B-DATE,B-DATE
1251,en,I-DATE,I-DATE
1252,xcij,I-DATE,I-DATE
1253,den,I-DATE,I-DATE
1254,xxviijsten,I-DATE,I-DATE
1255,dach,I-DATE,I-DATE
1256,van,I-DATE,I-DATE
1257,septembre,I-DATE,I-DATE
1258,wij,O,O
1259,france,B-PERS,B-PERS
